"C_p_ise","N_discontinuous_edges","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","distribution_order","inclination","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2","v_inner:0","v_inner:1","v_inner:2","Cell Type"
-0.019918,0,8622.5,-2207.9,-135.67,-1.4115e-05,-16.557,-157.69,1,1,-8.9022e-08,-0.10443,-0.99453,8.9022e-08,1564.4,11.784,-1.2375,1548.9,0,0,3
-0.012853,0,9926.4,-2212.3,-135.21,-2.4754e-06,-11.656,-111.01,1,1,-2.2177e-08,-0.10443,-0.99453,2.2177e-08,1558.9,7.5601,-0.79385,1548.9,0,0,3
-0.011279,0,10186,-2274.2,-128.71,3.2233e-08,-9.4309,-89.818,1,1,3.5691e-10,-0.10443,-0.99453,-3.5691e-10,1557.7,5.6073,-0.58877,1548.9,0,0,3
-0.0081205,0,10910,-2265.1,-129.67,-4.568e-06,-6.2342,-59.373,1,1,-7.6517e-08,-0.10443,-0.99453,7.6517e-08,1555.2,2.8421,-0.29854,1548.9,0,0,3
-0.019582,0,8615.5,-2278.3,-128.28,7.9296e-06,-13.009,-123.9,1,1,6.3651e-08,-0.10443,-0.99453,-6.3651e-08,1564.2,10.771,-1.1309,1548.9,0,0,3
-0.14811,0,11205,-2205.7,-114.36,140.73,-140.72,-1340.2,1,1,0.10386,-0.10386,-0.98915,-0.10386,1665.5,22.032,141.23,1548.9,0,0,3
-0.018821,0,9284.7,-2244.2,-131.86,8.9927e-06,-15.672,-149.26,1,1,5.9921e-08,-0.10443,-0.99453,-5.9921e-08,1563.6,11.938,-1.2534,1548.9,0,0,3
-0.012918,0,10001,-2187.7,-137.79,2.9882e-06,-12.013,-114.41,1,1,2.5974e-08,-0.10443,-0.99453,-2.5974e-08,1559,7.5755,-0.79539,1548.9,0,0,3
-0.022664,0,9339.9,-2299.6,-126.04,-9.7737e-05,-19.125,-182.15,1,1,-5.3365e-07,-0.10443,-0.99453,5.3365e-07,1566.6,8.8088,-0.92574,1548.9,0,0,3
-0.084692,0,10981,-2270.9,-127.26,30.04,-62.86,-581.74,1,1,0.051271,-0.10729,-0.99291,-0.051271,1615.2,7.0827,73.877,1548.9,0,0,3
-0.02925,0,3253.5,-2226.6,-133.7,2.827e-05,-26.613,-253.45,1,1,1.1093e-07,-0.10443,-0.99453,-1.1093e-07,1570.8,-56.406,5.9228,1548.9,0,0,3
-0.026355,0,2891.7,-2233.6,-132.97,-3.2464e-05,-23.933,-227.94,1,1,-1.4165e-07,-0.10443,-0.99453,1.4165e-07,1568.4,-60.306,6.3319,1548.9,0,0,3
-0.026803,0,2606,-2270.5,-129.1,-2.6254e-05,-24.694,-235.18,1,1,-1.1102e-07,-0.10443,-0.99453,1.1102e-07,1568.9,-54.837,5.7577,1548.9,0,0,3
-0.019662,0,3476.6,-2316.2,-124.3,1.7261e-05,-17.955,-171,1,1,1.0039e-07,-0.10443,-0.99453,-1.0039e-07,1563.3,-54.654,5.7388,1548.9,0,0,3
-0.0045248,0,4398.8,-2310.6,-124.89,7.7072e-06,-4.1232,-39.268,1,1,1.952e-07,-0.10443,-0.99453,-1.952e-07,1552.1,-32.898,3.4545,1548.9,0,0,3
0.16215,0,1521.8,-2181,-88.289,153.18,153.18,1458.8,1,1,-0.10386,-0.10386,-0.98915,0.10386,1416.2,-94.384,-174.47,1548.9,0,0,3
-0.011033,0,3959.7,-2198.3,-136.68,-2.019e-06,-9.2207,-87.816,1,1,-2.2866e-08,-0.10443,-0.99453,2.2866e-08,1557,-40.569,4.2598,1548.9,0,0,3
0.16425,0,1561.8,-2251.2,-85.122,144.99,144.99,1380.9,1,1,-0.10386,-0.10386,-0.98915,0.10386,1414.8,-92.065,-174.94,1548.9,0,0,3
-0.018096,0,6993.3,-2218.7,-134.53,-4.1503e-06,-11.936,-113.68,1,1,-3.6309e-08,-0.10443,-0.99453,3.6309e-08,1563,5.4849,-0.57597,1548.9,0,0,3
-0.021659,0,7785.3,-2186.6,-137.91,0,-16.372,-155.92,1,1,0,-0.10443,-0.99453,-0,1565.8,5.4796,-0.57536,1548.9,0,0,3
-0.021495,0,6207.3,-2190.7,-137.47,0,-18.241,-173.72,1,1,0,-0.10443,-0.99453,-0,1565.7,-3.7634,0.39516,1548.9,0,0,3
-0.0071652,0,4866.8,-2225.9,-133.78,5.2906e-07,-4.6146,-43.948,1,1,1.1972e-08,-0.10443,-0.99453,-1.1972e-08,1554.3,-23.824,2.5016,1548.9,0,0,3
-0.011974,0,9910.6,-2293.2,-126.72,1.9854e-05,-10.411,-99.153,1,1,1.9915e-07,-0.10443,-0.99453,-1.9915e-07,1558.2,5.1542,-0.54088,1548.9,0,0,3
