"Phi_u","convex","mu","Points:0","Points:1","Points:2"
1.0438e+07,0,-71.582,6810.5,-2237.6,-132.55
1.0364e+07,0,-72.061,6763.3,-2237.6,-132.55
9.7357e+06,0,-75.958,6361.4,-2237.6,-132.55
9.6818e+06,0,-76.249,6326.9,-2237.6,-132.55
8.7927e+06,0,-81.059,5757.7,-2237.6,-132.55
8.1986e+06,0,-83.814,5376.9,-2237.6,-132.55
9.3059e+06,0,-78.264,6086.2,-2237.6,-132.55
1.0209e+07,0,-73.133,6664.5,-2237.6,-132.55
1.014e+07,0,-73.525,6620.2,-2237.6,-132.55
8.4216e+06,0,-82.903,5520,-2237.6,-132.55
8.3519e+06,0,-83.246,5475.3,-2237.6,-132.55
7.529e+06,0,-86.21,4947,-2237.6,-132.55
1.0858e+07,0,-69.208,7078.9,-2237.6,-132.55
9.9057e+06,0,-74.824,6470,-2237.6,-132.55
9.971e+06,0,-74.354,6511.7,-2237.6,-132.55
1.0587e+07,0,-70.725,6905.5,-2237.6,-132.55
7.2934e+06,0,-86.842,4795.5,-2237.6,-132.55
1.2391e+07,0,-59.717,8059.4,-2237.6,-132.55
1.2152e+07,0,-61.324,7906.6,-2237.6,-132.55
